EpRewMean,TimestepsSoFar,loss_ent,EpThisIter,EpLenMean,loss_vf_loss,loss_pol_surr,loss_kl,TimeElapsed,AgentID,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before
-812.341678874,7666338,4.69018602371,444,224.795,3018.64854431,-0.0124388827777,0.00750016010716,5147.118523836136,0,41980,,-8.78572463989e-05
-795.669716162,7764044,4.65087842941,436,225.502,3125.32054647,-0.0130665635467,0.00778795439207,5212.6229083538055,0,42416,,-2.18152999878e-05
-781.788643547,7863007,4.58902597427,468,219.444,3263.5923818,-0.0131559276294,0.00745233916678,5278.722662687302,0,42884,,-0.000101327896118
-780.493939796,7960334,4.53735303879,442,218.063,3325.45647685,-0.0129936921682,0.00769435339801,5343.821060657501,0,43326,,-6.5803527832e-05
-790.293290117,8059096,4.48952388763,453,219.105,3377.1696523,-0.0131712067329,0.00738832892966,5410.467513799667,0,43779,,-6.38961791992e-05
-819.520238873,8157865,4.45157766342,416,226.597,3061.63906352,-0.0135689627108,0.00765941484133,5476.365056991577,0,44195,,2.6524066925e-05
-790.478897899,8254762,4.39377641678,443,224.13,3105.70080566,-0.0136209358461,0.00755699999475,5541.92356967926,0,44638,,-0.000221729278564
-778.050008923,8353644,4.32528066635,440,224.742,3214.38226827,-0.0129762988581,0.00743856889312,5607.347478866577,0,45078,,
-777.410255014,8452473,4.27818870544,437,226.381,3291.2348938,-0.0130401174732,0.00759845334687,5673.327465295792,0,45515,,4.57763671875e-05
-765.578409316,8551040,4.22409200668,447,226.499,3166.41536967,-0.0133408129865,0.00782707718705,5739.2576360702515,0,45962,,-0.000759720802307
-742.0095805,8648722,4.18088054657,428,222.924,3315.00345866,-0.0137709472086,0.0076133943027,5805.281702518463,0,46390,,-3.81469726562e-05
-720.533782075,8746550,4.11636066437,446,221.234,3161.26410929,-0.0137753764284,0.00800256578562,5871.294699430466,0,46836,,0.000230133533478
-733.876676162,8845932,4.05300712585,434,224.92,2983.16097005,-0.0139903372813,0.00796982776956,5937.113312959671,0,47270,,0.000631332397461
-739.362608275,8942344,4.00134992599,439,223.062,2556.2587738,-0.0136791418578,0.00749723344537,6003.883108377457,0,47709,,0.0319455265999
-712.96274006,9042328,3.9381108284,469,216.508,2777.62364197,-0.0152290219897,0.00792710583967,6070.163934230804,0,48178,,0.476018607616
-714.086704222,9139817,3.88769364357,433,220.509,2680.30637614,-0.0142294471977,0.00781296773736,6135.656852722168,0,48611,,0.589840650558
